Squad_Code,Squad Name,Text
3f8c4b5f,Toulouse,Toulouse-Match-Logs-All-Competitions
54195385,Troyes,Troyes-Match-Logs-All-Competitions
04eea015,Udinese,Udinese-Match-Logs-All-Competitions
7a41008f,Union-Berlin,Union-Berlin-Match-Logs-All-Competitions
dcc91a7b,Valencia,Valencia-Match-Logs-All-Competitions
17859612,Valladolid,Valladolid-Match-Logs-All-Competitions
2a8183b3,Villarreal,Villarreal-Match-Logs-All-Competitions
62add3bf,Werder-Bremen,Werder-Bremen-Match-Logs-All-Competitions
7c21e445,West-Ham-United,West-Ham-United-Match-Logs-All-Competitions
4eaa11d7,Wolfsburg,Wolfsburg-Match-Logs-All-Competitions
8cec06e1,Wolverhampton-Wanderers,Wolverhampton-Wanderers-Match-Logs-All-Competitions
44117292,DC-United,DC-United-Match-Logs-All-Competitions
0d885416,Houston-Dynamo,Houston-Dynamo-Match-Logs-All-Competitions
130f43fa,Toronto-FC,Toronto-FC-Match-Logs-All-Competitions
15cf8f40,FC-Dallas,FC-Dallas-Match-Logs-All-Competitions
1ebc1a5b,Atlanta-United,Atlanta-United-Match-Logs-All-Competitions
35f1b818,Nashville-SC,Nashville-SC-Match-Logs-All-Competitions
3c079def,New-England-Revolution,New-England-Revolution-Match-Logs-All-Competitions
415b4465,Colorado-Rapids,Colorado-Rapids-Match-Logs-All-Competitions
46ef01d0,Orlando-City,Orlando-City-Match-Logs-All-Competitions
4acb0537,Sporting-KC,Sporting-KC-Match-Logs-All-Competitions
529ba333,Columbus-Crew,Columbus-Crew-Match-Logs-All-Competitions
6218ebd4,Seattle-Sounders-FC,Seattle-Sounders-FC-Match-Logs-All-Competitions
64e81410,New-York-City-FC,New-York-City-FC-Match-Logs-All-Competitions
69a0fb10,New-York-Red-Bulls,New-York-Red-Bulls-Match-Logs-All-Competitions
81d817a3,Los-Angeles-FC,Los-Angeles-FC-Match-Logs-All-Competitions
99ea75a6,Minnesota-United,Minnesota-United-Match-Logs-All-Competitions
ab41cb90,Vancouver-Whitecaps-FC,Vancouver-Whitecaps-FC-Match-Logs-All-Competitions
b918956d,Austin-FC,Austin-FC-Match-Logs-All-Competitions
ca460650,San-Jose-Earthquakes,San-Jose-Earthquakes-Match-Logs-All-Competitions
cb8b86a2,Inter-Miami,Inter-Miami-Match-Logs-All-Competitions
d076914e,Portland-Timbers,Portland-Timbers-Match-Logs-All-Competitions
d8b46897,LA-Galaxy,LA-Galaxy-Match-Logs-All-Competitions
e9ea41b2,FC-Cincinnati,FC-Cincinnati-Match-Logs-All-Competitions
eb57545a,Charlotte-FC,Charlotte-FC-Match-Logs-All-Competitions
f7d86a43,Real-Salt-Lake,Real-Salt-Lake-Match-Logs-All-Competitions
f9940243,Chicago-Fire,Chicago-Fire-Match-Logs-All-Competitions
fc22273c,CF-Montreal,CF-Montreal-Match-Logs-All-Competitions
